AHNW,A Hole New World
AWD,A Winter's Daydream
AOF,Age of Zombies
AD,Asdivine Dios
AM,Asdivine Menace
ACC,Assassin's Creed Chronicles: China
ACI,Assassin's Creed Chronicles: India
ACR,Assassin's Creed Chronicles: Russia
ATT,Attack of the Toy Tanks
BD,Balthazar's Dream
BR,Battle Rockets
B10,Ben 10: Galactic Racing
BM,Blind Men
BB,Bouncy Bullets
BH,Breeder Homegrown: Director's Cut
BK,Bucket Knight
CS,Color Slayer
CMG,Conga Master Go!
CRS,CounterSpy
CTTW,Cybarian: The Time Travelling Warrior
DD,Darkest Dungeon: Ancestral Edition
DN,Dead Nation
DSR,Deep Space Rush
DDE,Distraint: Deluxe Edition
DF,Dragon Fantasy: Volumes of Westeria
DC,Dragoon Collection
EW,Epic Word Search Collection
EJ,Explosive Jake
FW,Fifty Words by POWGI
FC,Floating Cloud God Saves the Pilgrims
FH,Flying Hamster
FG,Football Game
FL,FoxyLand
FL2,FoxyLand 2
FD,Furwind
GSS,Ganbare! Super Strikers
GC,Grass Cutter - Mutated Lawns
GD,Gravity Duck
GDY,Guard Duty
HA,Habroxia
HO,Himno
H2,Hoggy2
HG,Hungry Giraffe
IB,Ice Breaker
IP,Illusion of L'Phalcia
IN,Injustice: Gods Among Us
JP,Just a Phrase by POWGI
JIT,Just Ignore Them
KT,Kid Tripp
KN,Knightin'+
LS,Legend of the Skyfish
LHP,LEGO Harry Potter: Years 5-7
LJW,LEGO Jurassic World
LLC,LEGO Legends of Chima: Laval's Journey
LMSH,LEGO Marvel Super Heroes
LMA,LEGO Marvel's Avengers
LNN,LEGO Ninjago: Nindroids
LNSR,LEGO Ninjago: Shadow of Ronin
LH,LEGO The Hobbit
LLR,LEGO The Lord of the Rings
LPD,Link-a-Pix Deluxe
MB,Mekabolt
MA,Mekorama
MMX,Metal Max Xeno
MK,Miles and Kilo
MQ,Milo's Quest
MC,Minecraft
MMB,Mochi Mochi Boy
NFSMW,Need for Speed: Most Wanted (2012)
NJ,Neon Junctions
OMO,Oddworld: Munch's Oddysee HD
OSW,Oddworld: Munch's Oddysee HD
OMG,OMG-Z
PH,Pantsu Hunter: Back to the 90s
PS,Paradox Soul
PPC2,Pic-a-Pix Classic 2
PCPC2,Pic-a-Pix Color 2
PASBR,PlayStation All-Stars Battle Royale
RS,Rainbow Skies
RH,Random Heroes: Gold Edition
RC,Ratchet & Clank Collection
RB,Red Bow
RR,Reed Remastered
RS3,Romancing SaGa 3
RSR,Run Sackboy! Run!
RHR,Rush Rover
SH,Shakedown: Hawaii
SC,Sly Cooper: Thieves in Time
SH,SpongeBob HeroPants
SN5,Summon Night 5
SBLD,Super Box Land Demake
SDLW,Super Destronaut: Land Wars
SWD,Super Wiloo Demake
STUS,Syrup and The Ultimate Sweet
2D,The 2D Adventures of Rotating Octopus Character
TB,The Tower of Beatrice
TM,The Treasures of Montezuma 4
TP,Thunder Paw
TTL,Tic-Tac-Letters by POWGI
TC,Tokyo Clanpool
TBSSA,Twin Breaker: A Sacred Symbols Adventure
UMVC,Ultimate Marvel vs. Capcom 3
VC,VASARA Collection
VS,Vasilis
W2D,WipEout 2D
WE,Without Escape
WB,Wizards of Brandel
WM,Word Maze by POWGI
WW,Word Wheel by POWGI
WS,Wordsweeper by POWGI
WU,Wurroom
ZZZ,Zero Zero Zero Zero
